Reference;Qty;MOUSER
A1;1;
C1,C2;2;74-593D106X9050E2TE3 
C3,C4,C7,C8,C11;5;187-CL10B104JB8NNNC 
C5,C6;2; 74-293D104X9050A2TE3 
C9,C10;2; 74-TP3B476K010C1800A 
D2,D3;2;863-MBR2H200SFT3G 
F1,F2;2;652-SF-0603SP300R-2 
IC1;1;595-SN7417DR 
J1,J5;2;651-1862149 
J2,J3,J4;3;651-1862107 
J6,J11;2;651-1862055 
J7,J8,J9,J10;4;651-1862071
J12,J13;2;653-XJ8B-0311 
LED1,LED2,LED3,LED4,LED5,LED6,LED7,LED8,LED9,LED10,LED11,LED12,LED13,LED14,LED15,LED16,LED17,LED18,LED19,LED20,LED21,LED22,LED23,LED24,LED25,LED26,LED27,LED28,LED29,LED30,LED31,LED32,LED33,LED34,LED35,LED36,LED37,LED38,LED39;36;HSMC-C170-T0000
R0,R45,R46,R47,R50,R51,R52,R53,R54;9;594-MCU08050Z0000ZP5 
R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R28,R29,R30,R31,R32,R33,R34,R35,R36,R37,R38;36;667-ERA-6VEB1001V 
R26;1;667-ERA-6ARW272V 
R27;1;667-ERA-6VEB4700V 
R39,R40,R41;3;667-ERA-6VEB1201V 
R43,R44,R48,R49;4;667-ERA-6VEB1000V 
RV1;1;871-B72520E0140K062 
S1;1;611-D6R90LFS 
TP1,TP2,TP3,TP4,TP5,TP6,TP7,TP8,TP34,TP35,TP36;11;534-5005 
TP9,TP10,TP11,TP12,TP13,TP14,TP15,TP16,TP17,TP18,TP19,TP20,TP21,TP22,TP23,TP24,TP25,TP26,TP27,TP28,TP29,TP30,TP31,TP32,TP33,TP37,TP38,TP39,TP40,TP41,TP42,TP43,TP44,TP45,TP46,TP47,TP48,TP49,TP50,TP51,TP52,TP53;42;534-5006 
U1;1;998-MIC29300-5.0WU 
U2;1;998-MIC29300-3.3WU 
VR1,VR2,VR3,VR4,VR5,VR6,VR7,VR8,VR13,VR14,VR15,VR16;12;652-PTV09A-4020UB103 
Z1;1;621-BZT52C5V6S-F 
Z2;1;621-BZT52C3V6S-F 
